Id;Label
MN0000039417;The Atlantics
MN0000074539;Ken Colyer
MN0001262890;William Schwenck Gilbert
MN0000031324;Sodom
MN0000228306;The Vulgar Boatmen
MN0002459485;How to Destroy Angels
MN0000994823;Lady Gaga
MN0000513923;Ash Ra Tempel
MN0003212530;Charlotte OC
MN0000631667;YACHT
MN0000125391;James Hunter
MN0000177690;Fight
MN0000046381;Berlin
MN0000247065;Destroyer
MN0000594089;Adam Guettel
MN0000607773;Al B. Sure!
MN0000080823;The Hunches
MN0000720741;Hannah Montana
MN0000586694;Suede
MN0000567153;Daughtry
MN0000315118;Pylon
MN0000157830;Parker and Lily
MN0000232493;The Hudson Brothers
MN0000141838;Eddie Money
MN0000744881;Palace
MN0000311742;Martin Taylor
MN0000929560;Arena
MN0000475202;The Story
MN0000793821;Frankie Knuckles
MN0000776659;Israel Vibration
MN0000599014;Zero
MN0000211063;Eugene Smith
MN0000211062;Joe Perry Project
MN0000475209;The Strangeloves
MN0000181075;<<rinôçérôse>>
MN0000416245;The Raspberries
MN0000204714;Johnny Shines
MN0000603477;Archie Bell
MN0000782375;Clarence Clemons
MN0000215997;Carla Bruni
MN0000571186;The Sunshine Fix
MN0000392320;Raging Slab
MN0000101341;Kotch
MN0000859043;hitomi
MN0000204248;Doyle Bramhall II
MN0000021572;Paul Misraki
MN0001600378;Rapture
MN0000024152;Sherbet
MN0000479546;The Untouchables
MN0000658693;Lightspeed Champion
MN0000039917;The Beatnuts
MN0000858646;Phil Asher
MN0000390252;Ralph Peer
MN0000175407;David Liebman
MN0000185888;Voice of the Beehive
MN0000339375;Jim Ferguson
MN0000202711;Wayne Horvitz
MN0002637656;Owl Eyes
MN0000765494;Bobby Watson
MN0000130028;Freddie Mercury
MN0000098952;Irène Schweizer
MN0000081849;Boney James
MN0000081847;Kenny Drew, Jr.
MN0000828125;Saccharine Trust
MN0000325443;Petra
