Id;Label
MN0000747506;Patti Page
MN0000358408;Run-D.M.C.
MN0000408342;The O'Kaysions
MN0000017929;Patti Austin
MN0000027767;Steve Alaimo
MN0000788569;Barbara Mandrell
MN0000243803;Rod McKuen
MN0000661963;Donnie Iris
MN0000138988;The Dreamlovers
MN0000829523;Londonbeat
MN0000088035;Kelly Price
MN0000165117;Tamia
MN0001061368;Kristinia DeBarge
MN0000143367;The Duprees
MN0000146796;The Deele
MN0001930721;The Winstons
MN0000510805;Toby Keith
MN0000937397;Brooklyn Bridge
MN0000926021;Monifah
MN0003189794;The Castaways
MN0000006024;Alice Deejay
MN0000012554;Patrick Hernandez
MN0000566602;Head East
MN0000257181;Peggy Scott-Adams
MN0000333842;Phyllis Nelson
MN0000869042;Razzy Bailey
MN0000310976;Martin Briley
MN0001000615;Shwayze
MN0000500664;The Seeds
MN0000738156;Forest For The Trees
MN0002832524;Opus
MN0000002330;Sergio Mendes
MN0000934611;Bram Tchaikovsky
MN0000026825;Paula Cole
MN0000685647;Yes
MN0000136075;The Crusaders
MN0000665860;Godsmack
MN0000190531;Frederick Knight
MN0000259524;Deon Jackson
MN0000896919;The Rugbys
MN0000339905;Jesse Winchester
MN0000653626;DJ Company
MN0000782262;Crown Heights Affair
MN0000757704;Blahzay Blahzay
MN0000576885;Suga Free
MN0000081316;Bone Thugs-N-Harmony
MN0000113753;Lauryn Hill
MN0000094752;LL Cool J
MN0000180030;For Real
MN0000040743;Audioslave
MN0000748713;Slick Rick
MN0000406612;The Overlanders
MN0000354722;Rick Astley
MN0000137390;The Cure
MN0000028166;Slim Harpo
MN0000332262;Philly Devotions
MN0000234004;Jeannie Seely
MN0000654835;Gina Thompson
MN0000813392;Dean Martin
MN0000143781;The Del Fuegos
MN0000490304;Thee Midniters
MN0000149044;Barry White
MN0000051118;The Marathons
MN0000361014;Brandy Featuring Kanye West
MN0000502398;Archie Bell & The Drells
MN0000585574;Sum 41
MN0000179941;Edison Lighthouse
MN0000191006;Gary Wright
MN0000386536;Mashmakhan
MN0000260516;Dina Carroll
MN0000479204;Anita Ward
MN0000869066;Ralph MacDonald
MN0000012180;Trace Adkins
MN0000252495;Wayne Newton
MN0000272965;House Of Lords
MN0000816844;Hinder
MN0000560719;High School Musical 2 Cast
MN0000128495;Counting Crows Featuring Vanessa Carlton
MN0000617104;Tommy Shane Steiner
MN0000490549;Anne Murray
MN0000086969;Billy Stewart
MN0000745100;Pajama Party
MN0000497236;Adina Howard
MN0000771010;The Left Banke
MN0000834314;Jude Cole
MN0000171889;Elephant Man
MN0000142545;JoBoxers
MN0000627337;Tommy Roe
MN0000006320;Toto
MN0000048400;Swirl 360
MN0000154967;Shades Of Blue
MN0000075747;The Clash
MN0001926414;Jan And Kjeld
MN0000597309;Tina Turner
MN0000376422;Queens Of The Stone Age
MN0000149558;The Elgins
MN0000599777;After 7
MN0000921924;Flo Rida
MN0002622976;Joe Jonas
MN0000060104;Blue Haze
MN0000343852;Jimmie Rodgers
MN0002563020;The Reflections
MN0000351733;Nine Inch Nails
MN0000749734;Slade
MN0000020630;Sinitta
MN0000423267;Small Faces
MN0000678339;XTC
MN0000172770;Carl Butler
MN0000172772;Ed Ames
MN0000485365;Thirty Seconds To Mars
MN0000370484;Martika
MN0000253296;Leroy Van Dyke
MN0000485361;AB Logic
MN0000554963;Harry Chapin
MN0000285277;Shawty Lo
MN0000046283;The Balloon Farm
MN0000814606;Wanda Jackson
MN0000921906;Anna King
MN0000745964;The Allman Brothers Band
MN0000347741;Rebecca Lynn Howard
MN0000619750;Tommy Shaw
MN0000771838;Immature
MN0000204386;James Taylor
MN0000287407;Jessica Simpson
MN0000492147;The Royaltones
MN0000575051;Herman's Hermits
MN0000247250;When In Rome
MN0003315236;Jackie Lee
